Unnamed: 0,"Austin, TX, United States","Boston, MA, United States","Chicago, IL, United States","Dallas, TX, United States","Houston, TX, United States","Las Vegas, NV, United States","Los Angeles, CA, United States","New York, NY, United States","Phoenix, AZ, United States","Portland, OR, United States","San Diego, CA, United States","San Francisco, CA, United States","Seattle, WA, United States"
"Meal, Inexpensive Restaurant",13.48,13.47,13.47,13.48,13.48,13.47,13.47,17.97,10.77,12.58,13.48,15.95,13.48
"Meal for 2 People, Mid-range Restaurant, Three-course",44.92,62.85,53.87,44.92,53.91,53.87,58.36,76.37,53.87,44.92,53.91,71.88,62.89
McMeal at McDonalds (or Equivalent Combo Meal),7.19,7.18,7.18,6.51,6.74,7.18,7.18,8.09,6.73,6.74,6.74,8.98,7.19
Domestic Beer (0.5 liter draught),4.49,6.29,4.94,4.49,5.39,5.39,5.39,6.29,3.59,4.49,5.39,6.29,5.39
Imported Beer (0.33 liter bottle),5.39,6.73,6.29,5.39,5.84,6.29,6.29,7.19,4.49,4.49,6.29,7.19,5.84
Coke/Pepsi (0.33 liter bottle),1.87,1.75,1.75,1.69,1.81,1.45,2.03,1.85,1.53,1.78,1.74,2.26,1.97
Water (0.33 liter bottle) ,1.37,1.53,1.52,1.42,1.59,1.06,1.59,1.59,1.07,1.35,1.39,1.72,1.52
"Milk (regular), (1 liter)",0.75,0.78,0.7,0.64,0.68,0.7,0.87,1.04,0.51,0.78,0.88,0.98,0.77
Loaf of Fresh White Bread (500g),2.4,2.62,2.54,2.2,2.03,1.81,2.99,3.33,2.18,2.83,3.27,3.12,2.76
Eggs (regular) (12),2.24,2.34,2.05,1.85,1.92,1.64,2.91,3.28,1.85,2.62,3.2,2.82,2.4
Local Cheese (1kg),9.01,12.75,9.95,6.88,8.0,7.05,9.48,14.21,9.65,12.78,10.03,15.47,14.42
Water (1.5 liter bottle),1.38,1.58,2.08,1.41,1.38,1.05,1.77,2.07,1.62,1.75,1.63,1.74,1.68
Bottle of Wine (Mid-Range),10.78,13.02,12.57,10.78,10.78,11.63,10.77,13.48,9.88,12.58,10.78,13.48,13.48
Domestic Beer (0.5 liter bottle),2.14,2.01,1.82,2.18,2.06,1.88,1.68,2.07,1.41,1.83,1.76,2.04,1.83
Imported Beer (0.33 liter bottle),3.0,2.32,1.88,2.58,2.53,2.72,2.24,2.43,1.75,3.14,2.14,1.98,2.19
Cigarettes 20 Pack (Marlboro),6.06,9.88,11.67,6.29,6.29,7.17,8.87,13.48,6.73,6.29,7.19,10.78,9.66
One-way Ticket (Local Transport),1.12,2.22,2.24,2.7,1.12,1.8,1.57,2.47,1.8,2.25,2.25,2.47,2.47
"Chicken Breasts (Boneless, Skinless), (1kg)",7.26,11.0,9.53,9.1,6.45,5.68,9.9,12.37,7.9,9.98,8.4,12.11,11.23
Monthly Pass (Regular Price),37.06,80.81,94.28,86.25,44.25,58.36,89.79,114.11,57.47,89.85,64.69,72.78,88.95
Gasoline (1 liter),0.56,0.66,0.74,0.56,0.57,0.76,0.94,0.71,0.7,0.77,0.92,0.95,0.84
Volkswagen Golf,19627.4,19789.8,19614.71,17071.22,20170.99,18856.43,19753.89,19627.4,19156.78,21563.64,20665.15,19802.61,22462.12
Apartment (1 bedroom) in City Centre,1581.66,2275.95,1702.25,1322.45,1258.81,992.86,1980.11,2854.26,1092.25,1399.8,1816.1,3131.06,1919.17
Apartment (1 bedroom) Outside of Centre,995.9,1716.68,1100.17,961.01,859.49,874.56,1564.78,1788.76,824.8,1045.69,1479.24,2527.11,1450.04
Apartment (3 bedrooms) in City Centre,2750.15,3574.7,3168.97,2476.25,2166.31,1665.0,3611.37,5574.89,1657.74,2472.7,3254.51,5661.53,3199.48
Apartment (3 bedrooms) Outside of Centre,1714.92,2503.07,1953.12,1607.56,1494.14,1339.05,2696.53,3314.05,1317.96,1769.49,2492.91,4320.95,2321.44
"Basic (Electricity, Heating, Cooling, Water, Garbage) for 85m2 Apartment",124.12,119.59,117.08,139.51,122.34,138.51,111.99,116.65,161.5,150.98,123.99,127.73,144.15
1 min. of Prepaid Mobile Tariff Local (No Discounts or Plans),0.09,0.08,0.16,0.13,0.13,0.19,0.11,0.09,0.1,0.12,0.17,0.09,0.09
"Internet (60 Mbps or More, Unlimited Data, Cable/ADSL)",55.38,61.7,57.23,59.67,54.13,64.64,55.74,55.18,67.23,60.86,56.97,60.0,58.46
"Fitness Club, Monthly Fee for 1 Adult",34.53,51.97,42.52,32.58,32.13,23.03,36.78,67.04,27.66,39.9,32.62,77.08,48.94
Tennis Court Rent (1 Hour on Weekend),14.6,15.39,23.05,2.99,10.14,21.05,10.56,30.1,7.38,18.12,13.48,16.81,26.51
"Cinema, International Release, 1 Seat",10.78,13.47,11.67,10.78,9.7,10.77,13.47,14.38,9.88,10.78,12.58,13.48,13.48
1 Pair of Jeans (Levis 501 Or Similar),39.01,43.34,45.28,36.03,36.88,39.76,44.31,47.04,35.14,45.22,43.37,55.68,42.55
"1 Summer Dress in a Chain Store (Zara, H&M, ...)",33.93,27.76,35.06,39.5,33.83,30.57,30.85,34.37,30.88,34.47,32.83,38.39,35.25
1 Pair of Nike Running Shoes (Mid-Range),67.69,71.03,73.0,70.62,61.38,66.91,70.02,75.39,66.48,72.05,69.96,77.2,75.86
1 Pair of Men Leather Business Shoes,88.55,91.75,96.56,89.32,86.21,82.55,94.26,113.98,82.84,86.29,101.32,134.75,111.44
Price per Square Meter to Buy Apartment in City Centre,3919.75,8867.39,3656.41,2375.25,1989.15,1935.47,7026.01,13179.53,2150.04,3522.58,5352.13,11670.67,6588.64
Price per Square Meter to Buy Apartment Outside of Centre,1955.36,4036.93,1816.95,1391.52,1047.43,1509.67,4434.17,6891.37,1403.23,2371.28,3605.03,8658.93,4065.0
Average Monthly Net Salary (After Tax),4097.92,4132.08,3717.02,4202.0,3568.78,3132.38,3968.48,4665.46,3113.47,3403.15,4293.13,6532.21,4741.65
"Mortgage Interest Rate in Percentages (%), Yearly, for 20 Years Fixed-Rate",4.09,4.22,4.23,4.19,4.14,4.31,4.13,4.17,4.2,4.18,4.11,4.18,4.14
Taxi Start (Normal Tariff),2.25,2.69,2.92,2.94,2.52,3.14,2.69,2.7,2.92,2.7,2.52,3.14,2.34
Taxi 1km (Normal Tariff),1.51,1.67,1.26,1.06,1.54,1.54,1.67,1.59,1.24,1.45,1.67,1.95,1.51
Taxi 1hour Waiting (Normal Tariff),26.06,25.14,21.55,18.42,21.56,29.09,26.21,26.95,32.32,29.2,22.46,29.65,26.95
Apples (1kg),4.02,3.96,4.47,3.7,3.19,2.86,3.93,5.63,2.93,4.7,3.31,4.38,4.69
Oranges (1kg),3.58,4.17,3.69,3.04,3.1,2.34,2.73,5.7,3.03,3.22,2.21,3.11,3.38
Potato (1kg),2.25,1.79,2.22,1.81,1.95,2.17,2.36,3.81,1.99,1.78,2.27,3.49,2.3
Lettuce (1 head),1.45,1.68,1.42,1.28,1.15,1.27,1.25,1.94,1.06,1.47,1.19,1.17,1.73
Cappuccino (regular),3.95,3.6,3.69,3.46,4.03,3.65,4.01,4.22,3.6,3.85,3.83,4.06,3.81
"Rice (white), (1kg)",2.6,3.68,3.92,3.54,3.09,2.98,3.25,5.7,4.53,3.91,3.96,4.15,4.1
Tomato (1kg),3.19,5.14,3.52,2.87,2.07,2.99,2.98,5.33,3.19,3.67,3.36,4.33,4.28
Banana (1kg),1.04,1.39,1.47,1.07,1.25,1.32,1.81,2.17,1.38,1.3,1.6,1.79,1.67
Onion (1kg),1.82,3.4,2.39,1.99,1.59,1.79,1.82,3.07,1.91,1.9,2.06,2.47,2.32
Beef Round (1kg) (or Equivalent Back Leg Red Meat),10.6,14.07,12.4,9.9,9.17,10.05,11.6,13.56,9.6,14.63,10.74,14.53,13.11
Toyota Corolla 1.6l 97kW Comfort (Or Equivalent New Car),18743.38,18411.02,18842.65,17561.12,18944.36,19092.7,18702.58,18118.42,18257.94,20494.34,18876.87,20177.73,20472.62
"Preschool (or Kindergarten), Full Day, Private, Monthly for 1 Child",890.67,1534.76,1025.73,800.09,806.88,786.6,951.17,2106.38,678.35,1076.09,967.85,1959.36,1568.61
"International Primary School, Yearly for 1 Child",17537.93,24642.48,15972.64,16891.52,18762.48,12507.1,19335.55,34441.93,13498.49,16387.06,16232.63,25657.74,19730.73
